,en,vi
623,'teach your wife' with... a plow.,' dạy vợ ' bằng ... điếu cày .
624,"results of the multiple-choice contest ""learning the history of special relations between vietnam and laos in 2017"" weeks 9,10,11,12.","kết_quả cuộc thi trắc_nghiệm ' tìm_hiểu lịch_sử quan_hệ đặc_biệt việt nam - lào năm 2017 ' tuần 9,10,11,12 ."
625,"continuously using a hoe by a 'mate', his wife collapsed on the spot.","bị ' bạn_đời ' dùng cuốc bổ liên_tiếp , vợ gục tại_chỗ ."
626,precious bloodlines.,những dòng máu quý .
627,all the luck and bad luck of the 12 animals in the year of the dog.,tất_tần_tật vận may lẫn xui_xẻo của 12 con giáp trong năm mậu tuất .
628,how to release carp to get good luck?,thả cá_chép phóng_sinh sao cho tích phúc ? .
629,principal - duyen yin cut or not and who is right to cut?.,tiền_duyên - duyên âm cắt hay không và ai được quyền cắt ? .
630,funny story about cutting predestined for children.,bi_hài chuyện cắt tiền_duyên cho con_cái .
631,western people.,người miền tây .
632,"the ending is 'choking' for the guy who is 'choosy to choose soup', every girl he meets will scorn and criticize.","cái kết ' nghẹn ' cho anh_chàng ' kén cá chọn canh_' , gặp cô nào cũng chê ỉ chê ôi ."
633,the wife whose husband donated the body also volunteered to donate organ tissue for medicine.,người vợ có chồng hiến xác cũng tâm_nguyện hiến mô tạng cho y_học .
634,"donating her husband's body to medicine, the wife is miserable with the reputation of 'selling her husband's body'.","hiến xác chồng cho y_học , người vợ khốn_khổ với điều_tiếng ' bán_xác chồng ' ."
635,the 'marshal' old man built a garden of love beside his wife's grave.,ông lão ' soái ca ' dựng cả khu vườn tình_yêu bên mộ vợ .
636,teachers are tired of demanding policies.,các nhà_giáo mòn_mỏi đi đòi chế_độ chính_sách .
637,finish harvesting summer-autumn rice 2017.,thu_hoạch dứt_điểm lúa hè_thu 2017 .
638,reviewing the director of the department of agriculture for groping a female employee.,kiểm_điểm giám_đốc sở nông_nghiệp sàm_sỡ nữ nhân_viên .
639,former deputy of the economic and infrastructure division of the district was accused of lying about his background.,nguyên phó phòng kinh_tế-hạ tầng huyện bị tố khai_man lý_lịch .
640,inspect agricultural materials according to circular 45/2014/tt-bnnptnt.,kiểm_tra vật_tư nông_nghiệp theo thông_tư 45/2014 / tt-bnnptnt .
641,my xuyen mobilized over 493 billion vnd to build the new ntm.,mỹ xuyên huy_động trên 493 tỉ đồng xây_dựng ntm .
642,"bot stations t1, t2 will reduce prices by 30%-100%.","trạm bot t1 , t2 sẽ giảm_giá 30 % - 100 % ."
643,reduce the bot fee of t1 station on national highway 91 from 30% to 100%.,giảm phí bot trạm t1 trên quốc_lộ 91 từ 30 % đến 100_% .
644,dialogue to find consensus on exemption and reduction of bot stations.,đối_thoại để tìm sự đồng_thuận trong miễn_giảm giá các trạm bot .
645,will reduce from 30-100% for vehicles in the vicinity of bot t1.,sẽ giảm từ 30-100_% cho các phương_tiện vùng lân_cận bot t1 .
646,collecting people's opinions on reducing bot prices on highway 91.,lấy ý_kiến dân về giảm_giá bot trên quốc_lộ 91 .
647,exemption and reduction of tolls for vehicles at 3 bot stations on national highways 1 and 91.,miễn_giảm phí cho xe tại 3 trạm bot trên quốc_lộ 1 và 91 .
648,the driver paying the change got wet when passing the can tho - phung hiep bot station.,tài_xế trả tiền_lẻ bị ướt khi qua trạm bot cần_thơ - phụng hiệp .
649,can tho - phung hiep bot: problems with car owners when exempting and reducing.,bot cần thơ-phụng hiệp : vướng_mắc xe chính chủ khi miễn_giảm .
650,the t2 bot station on ql91 will be useless when there is a long xuyen bypass.,trạm t2 bot ql91 sẽ vô tác_dụng khi có tuyến tránh long xuyên .
651,"tomorrow, we will collect comments from the public on the reduction of bot fees on national highway 91.",ngày_mai lấy ý_kiến dân về mức giảm phí bot quốc_lộ 91 .
652,prohibition of stopping for a long time: the whole bot station must be fined if it is slow.,cấm dừng xe lâu : phải phạt cả trạm bot nếu làm chậm ? .
653,finished installing the sign 'no stopping for more than 5 minutes' at the western bot stations.,cắm xong biển ' cấm dừng quá 5 phút ' tại các trạm bot miền tây .
654,"at the end of 2017, move all the old can tho bus station.",cuối năm 2017 di_dời toàn_bộ bến_xe cần_thơ cũ .
655,'you have to give me full authority to clear the sidewalk'.,' phải cho tôi toàn_quyền mới dẹp được vỉa_hè ' .
656,arrested former deputy chief of can tho transport inspector.,bắt nguyên phó chánh thanh_tra gtvt cần_thơ .
657,three traffic inspectors who accept bribes face the death penalty.,3 thanh_tra giao_thông nhận hối_lộ đối_diện án tử_hình .
658,former can tho traffic inspector was dismissed from his position in the party.,nguyên chánh thanh_tra giao_thông cần_thơ bị cách hết chức_vụ trong đảng .
659,handling responsibilities of the head at the party committee of the traffic inspection department of can tho city.,xử_lí trách_nhiệm người đứng đầu tại đảng_bộ bộ_phận thanh_tra giao_thông tp cần_thơ .
660,"for taking bribes, 5 traffic inspectors were disciplined.","để xảy ra nhận hối_lộ ,_5 cán_bộ thanh_tra giao_thông bị kỷ_luật ."
661,improve management capacity on inland waterway traffic safety in the southern region.,nâng cao năng_lực quản_lý về atgt đường_thủy nội_địa khu_vực phía nam .
662,microfinance institution cep: continuing to accompany the poor.,tổ_chức tài_chính vi_mô cep : tiếp_tục đồng_hành với người nghèo .
663,together with accomplices receiving bribes of more than 4 billion vnd: former captain of ttgt team was sentenced to life in prison.,cùng đồng_phạm nhận hối_lộ hơn 4 tỉ đồng : nguyên đội_trưởng đội ttgt lĩnh án chung_thân .
664,microfinance institution cep: continuing the goal of accompanying the poor.,tổ_chức tài_chính vi_mô cep : tiếp_tục mục_tiêu đồng_hành cùng người nghèo .
665,unexpected developments in the trial of ttgt for bribery of billions.,diễn_biến bất_ngờ phiên_tòa xử ttgt ăn_hối_lộ tiền tỉ .
666,cep microfinance: a reliable fulcrum of the working poor.,tổ_chức tài_chính vi_mô cep : điểm_tựa tin_cậy của người lao_động nghèo .
667,the captain of ttgt can tho was offered life in prison.,đội_trưởng ttgt cần_thơ bị đề_nghị tù_chung_thân .
668,the ttgt captain said the leader told him to 'ignore the offending vehicle'.,đội_trưởng ttgt khai lãnh_đạo kêu ' bỏ_qua xe vi_phạm ' .
669,cep fund converted into a microfinance institution.,quỹ cep chuyển_đổi thành tổ_chức tài_chính vi_mô .
670,continue to handle the case of traffic inspectors in can tho receiving bribes.,tiếp_tục xử vụ thanh_tra giao_thông cần_thơ nhận hối_lộ .
671,why have 13 provinces not restored vehicle weighing stations?,vì_sao 13 tỉnh chưa khôi_phục trạm cân xe ? .
672,stick to the goal of serving the working poor.,kiên_trì mục_tiêu phục_vụ người lao_động nghèo .
673,the case of ttgt receiving bribes in can tho: latest information.,vụ ttgt nhận hối_lộ ở cần_thơ : thông_tin mới nhất .
674,socialize support for vulnerable groups.,xã_hội_hóa công_tác trợ_giúp nhóm dễ bị tổn_thương .
675,the former head of the traffic inspector admitted to receiving a bribe of 100 million dong.,nguyên đội_trưởng thanh_tra giao_thông thừa_nhận có nhận hối_lộ 100 triệu đồng .
676,established cep microfinance institution.,thành_lập tổ_chức tài_chính vi_mô cep .
677,two tragic trials of morality.,hai phiên_tòa bi_kịch của đạo_lý .
678,trial of a group of traffic inspectors 'making laws' on businesses.,xét_xử nhóm thanh_tra giao_thông ' làm_luật_' doanh_nghiệp .
679,the case of running as a traffic inspector: waiting for the court's decision.,vụ tố chạy chức thanh_tra gtvt : chờ phán_quyết của tòa .
680,traffic inspectors 'inquire' vehicles with 'amitabha buddha' logo.,thanh_tra giao_thông ' hỏi_thăm ' xe có logo ' a_di_đà phật ' .
681,"the can tho traffic inspector group received more than 4 billion vnd for ""protection"" to appear in court.",nhóm thanh_tra giao_thông cần_thơ nhận ' bảo_kê ' hơn 4 tỷ đồng hầu_tòa .
682,why was the can tho deputy traffic inspector arrested?,vì_sao phó thanh_tra giao_thông cần_thơ bị bắt ? .
683,open an account to receive bribes.,mở tài_khoản để nhận tiền hối_lộ .
684,many localities competed to open the airport.,nhiều địa_phương đua nhau xin mở sân_bay .
685,traffic inspector group received billions of bribes to appear in court.,nhóm thanh_tra giao_thông nhận hối_lộ tiền tỉ hầu_tòa .
686,"tomorrow, june 21, the trial of a traffic inspector group for taking bribes.","ngày_mai 21/6 , xét_xử nhóm thanh_tra giao_thông nhận hối_lộ ."
687,officially reducing ticket prices through bot can tho - phung hiep.,chính_thức giảm_giá vé qua bot cần thơ-phụng hiệp .
688,terminate the contract to upgrade and expand national highway 30 under bot.,"chấm_dứt hợp_đồng nâng_cấp , mở_rộng quốc_lộ 30 theo bot ."
689,voters continue to reflect on the bot toll station to the president of the national assembly.,cử_tri tiếp_tục phản_ánh về trạm thu phí bot đến chủ_tịch quốc_hội .
690,"bot can tho - phung hiep lack of cooperation, can tho proposed the ministry of transport to get involved.","bot cần_thơ - phụng hiệp thiếu hợp_tác , cần_thơ đề_nghị bộ gtvt vào_cuộc ."
691,bot can tho - phung hiep: can tho proposes to the ministry of transport.,bot cần_thơ - phụng hiệp : cần_thơ kiến_nghị với bộ giao_thông vận_tải .
692,the president of can tho city requested the discharge of the can tho - phung hiep bot station.,chủ_tịch tp cần_thơ yêu_cầu xả trạm bot cần_thơ - phụng hiệp .
693,"offer to reduce fares for 1,148 vehicles through t1&t2 station.",đề_nghị giảm giá vé cho 1.148 phương_tiện qua trạm t1 & t2 .
694,exemption and reduction of tolls for vehicles around can tho phung hiep bot station.,miễn_giảm thu phí các xe xung_quanh trạm bot cần_thơ phụng hiệp .
695,agree on the plan of exemption and reduction of bot can tho - phung hiep.,thống_nhất phương_án miễn_giảm giá bot cần_thơ - phụng hiệp .
696,urgent arrest of former deputy chief inspector of can tho department of transport.,bắt khẩn_cấp nguyên phó chánh thanh_tra sở gtvt cần_thơ .
697,why was the former deputy chief of transport inspector of can tho arrested urgently?,vì_sao nguyên phó chánh thanh_tra gtvt cần_thơ bị bắt khẩn_cấp ? .
698,oriental medicine treatment of digestive disorders in children.,đông_y trị rối_loạn tiêu_hóa ở trẻ_em .
699,"'spirit of truong ba, butcher's sking song about u.23 vietnam in japanese.","' hồn trương ba , da hàng_thịt ' bài hát về u ._23 việt nam_bằng tiếng nhật ."
700,ha long quang ninh: a series of illegal wharves have not been handled.,hạ long quảng_ninh : hàng_loạt bến_bãi trái_phép chưa được xử_lý .
701,the syrian opposition raised conditions for cooperation in implementing the resolution of the congress in sochi.,phe đối_lập syria nêu điều_kiện hợp_tác thực_hiện nghị_quyết đại_hội tại sochi .
702,flower brand - hoanh bo's own tourism product.,thương_hiệu hoa - sản_phẩm du_lịch riêng có của hoành bồ .
703,the reason china promotes the digitization of people's identity cards.,lý_do trung_quốc thúc_đẩy số hóa chứng_minh_thư nhân_dân .
704,"officials issued wrong certificates for 2,500 m2 of land in vung tau.",cán_bộ cấp giấy sai cho 2.500 m2 đất ở vũng_tàu .
705,more mistakes in the project against the term 80 billion.,thêm nhiều sai_phạm tại dự_án chống_hạn 80 tỉ .
706,"trouble children have 2 names, 2 birth certificates.","rắc_rối trẻ có 2 tên , 2 giấy khai_sinh ."
707,quang ninh: effectiveness from population 'electronic data warehouse' activities.,quảng_ninh : hiệu_quả từ hoạt_động ' kho dữ_liệu điện_tử ' dân_số .
708,"the former police took advantage of the policy and smuggled ""super"" cars.","cựu công_an lợi_dụng chính_sách , nhập lậu ' siêu_' xe ."
709,jubilantly opening the flower festival in the heart of ha long heritage.,tưng_bừng khai_mạc lễ_hội hoa giữa lòng di_sản hạ long .
710,"traffic works quality and construction management department: many mistakes in the recruitment, employment and management of civil servants.","cục quản_lý xây_dựng và chất_lượng công_trình giao_thông : nhiều sai_phạm trong công_tác tuyển_dụng , sử_dụng và quản_lý công_chức ."
711,hanoi: hiding methamphetamine in a dangerous place still cannot get past 141.,hà nội : giấu ma_túy đá trong chỗ_hiểm vẫn không qua_mặt được 141 .
712,hong kong investment fund will acquire the first bitcoin exchange in china.,quỹ đầu_tư hồng kông sẽ mua lại sàn giao_dịch bitcoin đầu_tiên ở trung_quốc .
713,sapa cold 0.3 c during the weekend.,sa_pa lạnh 0.3_c trong ngày cuối tuần .
714,"exercises to help flat stomach, confidently welcome tet by coach 9x.","bài tập giúp bụng phẳng , tự_tin đón tết của hlv 9 x ."
715,"""vietnamese stocks have grown strongly in quantity and now is the time for investors to grow in quality.""",' chứng_khoán việt nam đã tăng_trưởng mạnh về lượng và bây_giờ là lúc nhà_đầu_tư cần tăng_trưởng về chất ' .
716,hanoi: hiding drugs in underwear still cannot escape 141.,hà nội : giấu ma_túy trong quần_lót vẫn không thoát khỏi 141 .
717,chinese painter is passionate about painting vietnam.,họa_sĩ trung_quốc đam_mê vẽ việt nam .
718,the accident caused a traffic jam on highway 18a.,tai_nạn liên_hoàn gây ách_tắc giao_thông trên quốc_lộ 18 a .
719,the secret to urgent weight loss to not look 'fat' in the year-end party.,bí kíp giảm cân khẩn_cấp để trông không ' ngấy mỡ ' trong party cuối năm .
720,quang ninh opens hoanh bo spring flower festival 2018.,quảng_ninh khai_mạc hội hoa xuân hoành bồ 2018 .
721,gecko - a gentlemangs medicine.,tắc_kè - vị thuốc của quý ông .
722,illegally transporting nearly 500m³ of sand illegally.,vận_chuyển trái_phép gần 500 m³ cát trái_phép .
723,avvanz promotes blockchain technology through its partnership with verime.,avvanz đẩy_mạnh công_nghệ blockchain thông_qua hợp_tác với verime .
724,"thu minh, hong nhung, vu manh cuong worked hard to run the show at the end of the year.","thu minh , hồng_nhung , vũ mạnh cường miệt_mài chạy show dịp cuối năm ."
725,the saudi soldier's hat was blown off by the houthis.,binh_sĩ saudi arabia bị lính houthi bắn bay mũ .
726,mr. park hang seo can obtain additional vietnamese citizenship if allowed by the president.,ông park hang seo có_thể có thêm quốc_tịch việt nam nếu được chủ_tịch nước cho_phép .
727,facebook authenticates the accounts of vietnam u23 players.,facebook chứng_thực_tài_khoản của các cầu_thủ u23 việt nam .
728,detecting ships illegally transporting 500 m3 of construction sand.,phát_hiện tàu vận_chuyển trái_phép 500 m3 cát xây_dựng .
729,blockchain is the foundation of the 4th industrial revolution.,blockchain là nền_tảng của cuộc cách_mạng công_nghiệp lần thứ 4 .
730,7875 billion vnd to build a tunnel through cua luc bay: should consider.,7875 tỉ đồng làm đường_hầm xuyên vịnh cửa_lục : nên cân_nhắc .
731,"early detection, timely treatment.","phát_hiện sớm , xử_lý kịp_thời ."
732,southern artists work hard to the north to run shows at the end of the year.,nghệ_sĩ miền nam miệt_mài ra bắc chạy show dịp cuối năm .
733,"hot on social networks: happy, tears flow again.","nóng trên mạng xã_hội : vui sao , nước_mắt lại trào ."
734,"quang ninh: cua luc tunnel is coming soon with an investment of over vnd 7,875 billion.",quảng_ninh : sắp có hầm cửa_lục với mức đầu_tư trên 7.875 tỷ đồng .
735,indoor mushroom cultivation.,canh_tác nấm_rơm indoor .
736,agricultural products with geographical indications struggle to be exported.,nông_sản có chỉ_dẫn địa_lý chật_vật không_thể xuất_khẩu .
737,fall in love with ht fashiongs spring floral patterned ao dai.,mê hoặc áo_dài họa tiết hoa mùa xuân của thời_trang ht .
738,china and russia join forces in the arctic.,trung - nga liên_thủ ở bắc_cực .
739,musician nguyen tuan dat: you can learn to surf the waves.,nhạc sỹ nguyễn_tuấn đạt : có_thể học để lướt trên những con sóng .
740,coach park hang seo was suggested to naturalize in vietnam.,hlv park hang seo được gợi_ý nhập quốc_tịch việt nam .
741,"quang ninh is about to have a road tunnel through cua luc bay with nearly vnd 8,000 billion.",quảng_ninh sắp có hầm đường_bộ xuyên vịnh cửa_lục gần 8.000_tỉ đồng .
742,"inside the festival of ""thousands of people"" in ha long, there are many mysteries.","bên trong lễ_hội '_vạn người mê ' tại hạ long , vô_vàn điều bí_ẩn ."
743,procedures for applying for a construction permit for the project.,thủ_tục xin giấy_phép xây_dựng cho dự_án .
744,take each other's hands around the world in an instant.,dắt tay nhau đi khắp thế_gian chỉ trong tích_tắc .
745,daniel hauer - be ashamed.,daniel hauer - hãy biết xấu_hổ .
746,ionah show will depict a brilliant spring at the ha long flower festival.,ionah show sẽ khắc_họa một mùa xuân rực_rỡ tại lễ_hội hoa hạ long .
747,there will be an extremely interesting ionah show this weekend in ha long.,sẽ có ionah show cực_kỳ thú_vị cuối tuần này ở hạ long .
748,facebook acquires company that provides id verification.,facebook thâu_tóm công_ty cung_cấp xác_thực id .
749,"killing each other in the form of a whirlwind, 5 gamblers were caught.","sát_phạt nhau bằng hình_thức đánh lốc ,_5 con_bạc bị tóm gọn ."
750,cuong do la and dam thu trang travel with the super car club.,cường đô_la và đàm thu trang du_lịch cùng hội chơi siêu xe .
751,why are luxury brands massively flocking to quang ninh?,vì_sao các thương_hiệu hạng sang ồ_ạt đổ_bộ vào quảng_ninh ? .
752,for the first time there is a club of digital signatures and electronic transactions.,lần đầu_tiên có câu_lạc_bộ chữ_ký số và giao_dịch điện_tử .
753,tet market: will publicize the address of food safety violations.,thị_trường tết : sẽ công_khai địa_chỉ vi_phạm an_toàn thực_phẩm .
754,the district directs one thing... the commune does another?.,huyện chỉ_đạo một_đằng ... xã làm một nẻo ? .
755,quang ninh: hide in the shadow of a residential construction project for illegal sand mining?.,quảng_ninh : núp_bóng dự_án xây_dựng khu dân_cư để khai_thác cát trái_phép ? .
756,how to eliminate 'petty corruptiong?.,loại_trừ ' tham_nhũng vặt ' thế_nào ? .
757,dismantling lines and groups of illegal drug trafficking and possession.,"triệt_phá đường_dây , ổ_nhóm mua_bán , tàng_trữ trái_phép ma_túy ."
758,improve the efficiency of debt recovery of credit institutions and corruption cases.,"nâng cao hiệu_quả thu_hồi khoản nợ của các tổ_chức tín_dụng , án tham_nhũng ."
759,the world's leading brands landed in quang ninh.,các thương_hiệu hàng_đầu thế_giới đổ_bộ vào quảng_ninh .
760,90% of businesses apply digital signature in tax declaration.,90_% doanh_nghiệp áp_dụng chữ_ký số trong kê_khai thuế .
761,the female monster 'specializes' in finding the venue for the whirlwind gambling.,nữ quái ' chuyên ' tìm địa_điểm tổ_chức ổ bạc đánh lốc .
762,"song joong ki refused the party to go home when the event ended, netizens rumored that song hye kyo was pregnant.","song joong ki từ_chối tiệc về nhà khi hết sự_kiện , dân mạng đồn song hye kyo có bầu ."
763,banning passenger cars to cat ba island: why do not management agencies consult people?,cấm xe_khách sang đảo cát bà : sao cơ_quan quản_lý không lấy ý_kiến người dân ? .
764,hai phong: businesses and people struggled after the ban on passenger cars crossing the got ferry.,"hải_phòng : doanh_nghiệp , người dân lao_đao sau lệnh_cấm xe_khách qua phà gót ."
765,catching a 'gambler' organized by a middle-aged woman.,bắt ' xới bạc ' do người phụ_nữ tuổi trung_niên tổ_chức .
766,ha nam: 47 students won the national excellent student award.,hà nam : 47 học_sinh đạt giải học_sinh giỏi quốc_gia .
767,national high school exam: there were candidates with 9.75 points in literature and 29.75 total points in 3 subjects.,"thi thpt quốc_gia : đã có thí_sinh đạt điểm 9,75 môn ngữ_văn và 29,75 tổng điểm 3 môn ."
768,announce the results of the national high school exam no later than 7/7.,công_bố kết_quả thi thpt quốc_gia chậm nhất ngày 7/7 .
769,"secretary of the ha nam provincial party committee has a dialogue with workers: increase classrooms, medical facilities to serve workers.","bí_thư tỉnh_uỷ hà nam đối_thoại với người lao_động : tăng phòng học , cơ_sở y_tế phục_vụ công_nhân ."
770,"score 9.75 appeared in literature, many multiple-choice tests scored 10.","xuất_hiện điểm 9,75 ở môn ngữ_văn , nhiều bài thi trắc_nghiệm đạt điểm 10 ."
771,"the case of people denouncing cadastral officers in thoi an ward, district 12, ho chi minh city: it is necessary to clarify and handle it soon.","vụ người dân tố_cáo cán_bộ địa_chính phường thới_an , quận 12 , tp hcm : cần sớm làm rõ và xử_lý ."
772,"after the civil service exam, many elderly teachers in ha nam called for help.","sau thi viên_chức , nhiều giáo_viên cao_tuổi ở hà nam kêu cứu ."
773,"there were 9.75 points in literature, many multiple-choice tests scored 10.","đã có 9,75 điểm ngữ_văn , nhiều bài thi trắc_nghiệm được 10 ."
774,more than 400 people participated in the seminar 'children violence problem and solutiong.,hơn 400 người tham_gia tọa_đàm ' bạo_hành trẻ_em vấn_nạn và giải_pháp ' .
775,keeping the national high school exam stable: evidence of the right direction of exam reform.,giữ ổn_định_kỳ thi thpt quốc_gia : minh_chứng về sự đúng_hướng của đổi_mới thi_cử .
776,does mobifone have a chance to get out of the seabank stock lot?,mobifone có cơ_hội thoát ' ế ' lô cổ_phiếu seabank ? .
777,selling state capital at the beginning of the year: from 'blockbuster' to 'spray bomb'.,bán vốn nhà_nước đầu năm : hết ' bom tấn ' tới ' bom xịt ' .
778,radio frequency auctions: lack of competition.,đấu_giá tần_số vô_tuyến điện : thiếu cạnh_tranh .
779,explain why 'blockbuster' vrg became 'bomb'.,lý_giải_nguyên_do ' bom tấn ' vrg trở_thành ' bom xịt ' .
780,"january: bond yields fell below 3% for the first time, interbank interest rates spiked due to localization.","tháng 1 : lợi_tức trái_phiếu lần đầu xuống dưới 3 % , lãi_suất liên ngân_hàng đột_biến do cục_bộ ."
781,"the titanic couple ""two swords together"" bring people back from the dead.",cặp đôi titanic ' song_kiếm hợp bích ' đưa người trở_về từ cõi chết .
782,auction results of vinacomin shares.,kết_quả đấu_giá cổ_phần vinacomin .
783,announcement of ipo textile institute.,thông_báo ipo viện dệt_may .
784,"in january 2018, 100% of shares auctioned via hnx were purchased.","tháng 1/2018 , 100_% cổ_phần đấu_giá qua hnx được mua hết ."
785,converting bad debts of soes into contributed capital: for golden land?.,đổi nợ xấu dnnn thành vốn góp : vì đất vàng ? .
786,2018: improve the recovery rate of money and property appropriated in corruption cases.,"năm 2018 : nâng cao tỷ_lệ thu_hồi tiền , tài_sản bị chiếm_đoạt trong các vụ_án tham_nhũng ."
787,dak lak: unusual signs of rubber wood auction.,đắk lắk : dấu_hiệu bất_thường_vụ đấu_giá gỗ cao_su .
788,seabank shares offered by mobifone at low prices attract investors.,cổ_phiếu seabank do mobifone chào bán với giá rẻ hút nhà_đầu_tư .
789,the 'legacy' of equitization during the time of mr. dinh la thang as a minister: a review of the saigon ground service company profile.,' di_sản ' cổ_phần_hóa thời ông đinh la thăng làm bộ_trưởng : nhìn lại hồ_sơ công_ty phục_vụ mặt_đất sài_gòn .
790,'0 dong' fair for poor patients to celebrate tet.,hội_chợ '_0 đồng ' dành cho bệnh_nhân nghèo ăn tết .
791,the australian prime minister criticized the case of the loss of cabinet documents.,thủ_tướng australia chỉ trích vụ để mất tài_liệu nội_các .
792,the economics of art are super expensive.,tính kinh_tế của nghệ_thuật siêu đắt .
793,the 10 most expensive ford mustangs of all time.,10 chiếc ford mustang đắt nhất mọi thời_đại .
794,the housing subsidy policy has been removed.,đã xóa bỏ chính_sách bao_cấp về nhà ở .
795,the young girl stripped off her clothes in a shocking auction.,thiếu_nữ trút xiêm_y trong buổi đấu_giá gây sốc .
796,"'ignoring' the electricity - fuel segment, ree's profit in q4 dropped dramatically.","' lơ là ' mảng điện - nhiên_liệu , lợi_nhuận ree quý 4 rớt thảm ."
797,"ipo ""big"" rice exporter vinafood 2 on march 14.",ipo ' ông lớn ' xuất_khẩu gạo vinafood 2 vào 14/3 .
798,"keep the fire of enthusiasm, share the love at the spring gala 2018.","giữ lửa nhiệt_huyết , sẻ chia yêu_thương tại gala chào xuân 2018 ."
799,volunteer music night 'spring gift for you'.,đêm nhạc thiện nguyện ' món quà xuân cho em ' .
800,fans were warmed by the news that phan van duc and pham xuan manh used the prize money for charity.,nhm ấm lòng trước tin phan văn_đức và phạm xuân mạnh dùng tiền thưởng làm từ_thiện .
801,singapore - strong therapy.,singapore - liệu_pháp mạnh .
802,administrative violations - difficult to handle because of the law 'entangled'.,vi_phạm hành_chính - khó xử_lý vì luật ' vướng ' .
803,auction of vietnam u23 shirt and ball for the prime minister for charity.,đấu giá áo và trái bóng u23 việt nam tặng thủ_tướng để làm từ_thiện .
804,optimistic signal.,tín_hiệu lạc_quan .
805,do you know how much the world's most expensive phone number costs?,đố bạn biết số điện_thoại đắt nhất thế_giới có giá bao_nhiêu ? .
806,deputy minister of transport: 'the fee to enter the airport is left by history'.,thứ_trưởng bộ gtvt : ' việc thu phí ra vào sân_bay là do lịch_sử để lại ' .
807,da nang collects parking fees at centralized parking lots.,đà nẵng thu phí đậu đỗ xe tại các bãi đỗ xe tập_trung .
808,"english: catching a giant flounder 2 meters long, priced at vnd 130 million.","anh : câu được cá_bơn khổng_lồ dài 2 mét , giá 130 triệu đồng ."
809,program your life according to the principle of balance.,lập_trình cuộc_đời theo nguyên_lý cân_bằng .
810,the haitian ambassador's wife struts confidently on the catwalk.,phu_nhân đại_sứ haiti sải bước tự_tin trên sàn catwalk .
811,"rubber group ""weak"" heavily in the ipo 6,000 billion dong.",tập_đoàn cao_su ' ế ' nặng trong đợt ipo_6.000_tỉ đồng .
812,dark corner of the art auction market.,góc tối thị_trường đấu_giá tác_phẩm nghệ_thuật .
813,the rubber group only sold 20% of the ipo shares.,tập_đoàn cao_su chỉ bán được 20 % lượng cổ_phần ipo .
814,haitian ambassador's wife wears ao dai for a fashion show.,phu_nhân đại_sứ haiti diện áo_dài diễn thời_trang .
815,ipo rubber industry group raised more than 1300 billion vnd.,ipo tập_đoàn công_nghiệp cao_su thu về hơn 1300 tỷ đồng .
816,"investors scramble to buy shares of seabank, double the offering.","nhà đầu_tư tranh mua cổ_phần seabank , gấp đôi lượng chào bán ."
817,the haitian ambassador's wife struts confidently on the vietnamese catwalk.,phu_nhân đại_sứ haiti sải bước tự_tin trên sàn catwalk việt .
818,the vietnam rubber industry group only sold a quarter of its ipo shares.,tập_đoàn công_nghiệp cao_su việt nam chỉ bán được 1/4 khối_lượng cổ_phần ipo .
819,completely solve the problem between habeco and caslsberg in 2018.,giải_quyết dứt_điểm vướng_mắc giữa habeco và caslsberg trong 2018 .
820,"ipo 'slow', vietnam rubber group is expected to open to foreign investors.","ipo ' ế_ẩm ' , tập_đoàn cao_su việt nam dự_kiến mở_cửa cho nhà_đầu_tư ngoại ."
821,the 10 most expensive auctioned ford mustangs of all time.,10 chiếc ford mustang được đấu_giá đắt nhất mọi thời_đại .
822,"right now, at goalkeeper bui tien dung's house, the atmosphere is very jubilant.","ngay lúc này , tại nhà thủ_môn bùi tiến_dũng , không_khí rất tưng_bừng ."
823,the president receives the chairman of the indonesian local delegate council.,chủ_tịch nước tiếp chủ_tịch hội_đồng_đại_biểu địa_phương indonesia .
824,young world stage - 8 years of branding.,sân_khấu thế_giới trẻ - 8 năm dựng thương_hiệu .
825,developing vietnam - cameroon relations to new heights.,phát_triển quan_hệ việt nam - cameroon lên tầm cao mới .
826,when thu trang changed from 'miss comedy' to become... mama.,khi thu trang từ ' hoa_hậu hài ' chuyển sang làm ... má mì .
827,"the old womangs daughter hugged the old man tightly on the hospital bed, causing a ""storm"" on the internet: ""someone said i put together a picture of a like sentence"".",con gái cụ bà ôm chặt cụ ông trên giường_bệnh gây ' bão ' mạng : ' có người nói tôi ghép ảnh câu like ' .
828,the photo of an old woman hugging her sick partner from behind moved netizens.,ảnh cụ bà ôm người bạn_đời bị bệnh từ phía sau lay_động dân mạng .
829,touching image of the old woman hugging the old man on the hospital bed.,xúc_động hình_ảnh cụ bà ôm chặt cụ ông trên giường_bệnh .
830,photos of old men and women make the community rethink how to treat parents and spouses.,ảnh cụ ông và cụ bà khiến cộng_đồng suy_nghĩ lại cách cư_xử với cha_mẹ và vợ_chồng .
831,part 3: human traps do not make girls fall.,kỳ 3 : cạm_bẫy nhân_gian không làm thiếu_nữ ngã gục .
832,accompany and share with farmers.,đồng_hành và chia_sẻ với nhà_nông .
833,accompanying and sharing: a practical program for farmers.,đồng_hành và chia_sẻ : chương_trình thiết_thực vì nông_dân .
834,explore the magnificent ancient tombs in tay do.,khám_phá khu mộ cổ nguy_nga tại tây_đô .
